weight,horsepower,torque,transmission,body style,drive train,quarter mile,0-60
2075.0,282.0,359.0,2,0,2,15.9 s @ 89.7 mph,7.6
1575.0,235.0,345.0,2,6,1,15.9 s @ 94.0 mph,6.9
1640.0,284.0,451.0,1,6,1,13.8 s,4.9
1503.0,204.0,254.0,1,6,1,16.0 s @ 86.0 mph,7.7
1640.0,330.0,441.0,1,6,1,13.1 s,5.4
890.0,135.0,157.0,1,2,0,15.8 s,8.2
2138.0,300.0,357.0,2,1,2,15.4 s @ 92.0 mph,7.0
2018.0,270.0,332.0,2,1,0,15.8 s @ 90.0 mph,7.6
2802.0,443.0,790.0,2,0,2,14.2 s @ 97.7 mph,5.6
1681.0,273.0,334.0,2,0,2,14.9 s,6.4
1566.0,168.0,224.0,2,0,2,16.9 s @ 82.0 mph,8.8
1442.0,99.0,142.0,1,5,0,17.6 s @ 79.0 mph,10.0
1370.0,136.0,349.0,2,2,0,17.9 s @ 77.7 mph,10.6
1280.0,225.0,304.0,1,6,1,14.0 s,6.1
1005.0,126.0,142.0,1,6,1,16.2 s,8.2
2040.0,314.0,443.0,2,0,2,15.3 s,6.9
1843.0,136.0,294.0,2,0,2,21.4 s @ 61.7 mph,20.6
1490.0,160.0,221.0,1,1,0,16.3 s,9.0
1994.0,299.0,357.0,2,0,2,15.6 s @ 91.5 mph,7.2
2000.0,269.0,420.0,2,0,2,16.1 s @ 88.3 mph,8.0
902.0,600.0,649.0,1,7,1,,3.5
1426.0,304.0,370.0,1,2,2,13.3 s @ 105.0 mph,4.9
1977.0,242.0,377.0,1,0,2,16.1 s @ 87.0 mph,7.2
1223.0,193.0,183.0,1,2,0,,8.2
1087.0,120.0,142.0,1,2,1,16.0 s,8.6
984.0,91.0,149.0,1,5,1,21.8 s @ 64.0 mph,18.8
1214.0,172.0,172.0,1,2,0,,7.1
1339.0,160.0,220.0,2,5,0,16.1 s,7.8
1534.0,171.0,203.0,2,0,2,17.0 s @ 83.0 mph,9.2
1233.0,132.0,170.0,2,5,0,16.6 s @ 84.0 mph,8.6
1357.0,141.0,171.0,2,5,0,17.8 s @ 81.0 mph,10.2
1048.0,91.0,129.0,1,5,0,18.2 s @ 74.0 mph,11.3
1990.0,314.0,481.0,2,5,1,,7.5
1922.0,193.0,323.0,2,5,1,18.9 s @ 72.2 mph,12.6
1378.0,147.0,210.0,1,6,1,16.7 s @ 82.0 mph,8.8
1382.0,162.0,221.0,1,6,1,16.8 s @ 84.0 mph,8.1
1040.0,203.0,180.0,1,6,0,,6.6
1342.0,132.0,196.0,1,6,0,16.9 s @ 81.0 mph,9.1
1226.0,137.0,197.0,1,6,0,16.0 s @ 85.0 mph,8.1
1465.0,185.0,249.0,1,6,2,15.6 s @ 88.0 mph,7.3
1448.0,242.0,302.0,1,6,2,15.0 s,6.3
1280.0,175.0,186.0,1,6,0,15.6 s,6.9
1538.0,193.0,267.0,2,5,0,15.6 s @ 89.3 mph,7.2
1604.0,272.0,336.0,2,5,0,14.3 s,6.0
1588.0,228.0,325.0,2,6,0,15.4 s @ 92.0 mph,6.9
1651.0,228.0,325.0,2,3,0,15.6 s @ 91.0 mph,7.3
1482.0,146.0,188.0,0,0,0,17.7 s @ 80.9 mph,10.2
1465.0,177.0,400.0,1,4,0,17.3 s @ 90.7 mph,8.1
1560.0,150.0,320.0,2,4,0,18.7 s @ 86.4 mph,9.5
1615.0,284.0,353.0,2,5,1,15.0 s,5.8
1515.0,203.0,290.0,2,5,0,16.4 s @ 94.4 mph,7.4
1686.0,218.0,202.0,0,5,0,16.0 s @ 91.0 mph,7.8
1631.0,272.0,336.0,2,5,0,14.5 s @ 98.0 mph,6.1
1692.0,305.0,362.0,2,5,2,14.8 s @ 98.0 mph,6.1
1667.0,203.0,212.0,0,5,0,16.5 s @ 87.0 mph,8.4
1672.0,205.0,251.0,2,5,2,15.9 s @ 89.0 mph,7.7
1435.0,177.0,400.0,1,2,0,16.0 s @ 86.4 mph,7.6
1453.0,177.0,400.0,1,2,0,16.0 s,7.5
2177.0,274.0,377.0,2,0,2,16.0 s @ 86.0 mph,7.7
2109.0,240.0,434.0,2,0,2,15.7 s @ 88.0 mph,7.2
1120.0,152.0,176.0,1,6,1,16.6 s @ 83.0 mph,10.0
2195.0,315.0,419.0,2,5,2,11.6 s @ 115.0 mph,3.1
1922.0,255.0,329.0,2,0,2,15.9 s @ 88.0 mph,7.6
1080.0,125.0,148.0,1,2,0,16.3 s,8.5
915.0,101.0,113.0,1,2,0,16.9 s,8.9
1064.0,136.0,160.0,1,2,0,15.8 s,7.2
1050.0,92.0,116.0,1,7,0,17.0 s @ 80.2 mph,10.5
1778.0,233.0,291.0,2,0,2,16.5 s @ 85.0 mph,8.4
2050.0,265.0,381.0,2,0,2,15.8 s @ 85.8 mph,7.5
1760.0,154.0,232.0,2,0,1,17.5 s @ 77.2 mph,10.2
1519.0,185.0,239.0,2,0,2,16.0 s @ 88.0 mph,7.5
1573.0,346.0,447.0,1,5,2,13.0 s @ 107.0 mph,4.4
1545.0,309.0,393.0,1,5,2,13.1 s @ 104.4 mph,4.8
1452.0,269.0,331.0,1,5,2,13.5 s @ 100.0 mph,4.7
1503.0,272.0,350.0,0,5,2,13.6 s @ 102.5 mph,4.8
1428.0,227.0,319.0,1,5,2,14.1 s @ 98.0 mph,5.3
1627.0,233.0,309.0,2,6,2,15.4 s,6.8
1565.0,284.0,350.0,0,0,1,,6.1
1701.0,185.0,239.0,2,0,2,16.6 s @ 86.1 mph,8.7
1758.0,264.0,366.0,2,0,2,14.6 s @ 95.9 mph,5.8
1525.0,172.0,230.0,2,5,2,16.9 s @ 83.0 mph,8.7
1538.0,253.0,339.0,1,5,2,14.0 s @ 98.0 mph,5.3
1543.0,253.0,330.0,1,5,2,14.2 s @ 96.0 mph,5.7
1703.0,264.0,376.0,2,5,2,14.8 s @ 94.5 mph,6.1
1410.0,203.0,260.0,2,5,2,,6.5
1270.0,280.0,340.0,1,5,2,,4.8
1529.0,308.0,430.0,1,5,2,13.8 s,4.7
1484.0,320.0,400.0,1,5,2,13.9 s @ 112.5 mph,4.3
1503.0,304.0,407.0,1,5,2,13.0 s @ 103.5 mph,4.5
1500.0,280.0,392.0,1,5,2,13.1 s,5.1
1453.0,265.0,343.0,1,5,2,13.5 s @ 102.0 mph,4.7
1443.0,269.0,331.0,1,2,2,13.5 s @ 101.1 mph,4.8
1427.0,227.0,306.0,1,2,2,14.2 s @ 98.2 mph,5.8
1395.0,304.0,405.0,1,5,2,,5.2
1213.0,243.0,325.0,1,6,2,,4.7
1470.0,320.0,450.0,1,5,2,,4.7
1295.0,280.0,353.0,1,6,2,13.5 s @ 103.8 mph,4.9
1230.0,218.0,290.0,1,5,2,14.4 s,5.4
1400.0,270.0,420.0,1,5,2,,4.9
1245.0,280.0,359.0,1,6,2,13.1 s @ 106.3 mph,5.0
1414.0,172.0,230.0,2,5,2,17.2 s @ 81.1 mph,9.5
1600.0,262.0,347.0,1,0,2,,6.3
1580.0,233.0,320.0,1,0,2,14.3 s @ 96.3 mph,5.9
1557.0,230.0,320.0,2,0,2,15.1 s @ 91.0 mph,6.7
1510.0,172.0,230.0,2,0,2,17.5 s @ 78.7 mph,10.0
1447.0,167.0,220.0,2,0,2,17.0 s @ 79.0 mph,9.1
1505.0,400.0,515.0,1,2,2,13.0 s @ 110.6 mph,4.4
1281.0,208.0,212.0,1,6,1,14.9 s @ 94.0 mph,6.3
1052.0,72.0,127.0,2,0,2,19.4 s @ 69.0 mph,14.3
1941.0,253.0,297.0,2,0,2,17.0 s @ 83.1 mph,9.3
2071.0,264.0,376.0,0,0,2,15.2 s @ 90.5 mph,6.9
1759.0,218.0,400.0,3,4,0,15.0 s @ 96.2 mph,6.9
1671.0,260.0,350.0,3,4,2,15.5 s @ 97.6 mph,6.4
1510.0,170.0,350.0,3,5,0,17.7 s @ 90.1 mph,8.5
1454.0,160.0,250.0,1,5,0,17.2 s @ 91.3 mph,8.0
1450.0,184.0,380.0,1,4,0,15.8 s,7.1
1387.0,220.0,350.0,3,4,0,14.8 s,6.0
1423.0,230.0,350.0,3,2,0,15.7 s @ 105.6 mph,6.1
1375.0,200.0,280.0,1,5,0,15.1 s,6.8
1406.0,245.0,370.0,2,4,0,14.5 s,6.0
1325.0,160.0,250.0,1,5,0,16.7 s @ 93.2 mph,7.6
1410.0,150.0,250.0,1,4,0,16.4 s @ 88.7 mph,8.0
1251.0,179.0,250.0,3,2,0,15.0 s,6.6
1220.0,130.0,310.0,1,2,0,16.3 s,8.9
1445.0,170.0,350.0,1,4,0,17.1 s @ 91.3 mph,7.8
1202.0,450.0,542.0,1,3,1,12.1 s @ 119.9 mph,3.7
1202.0,324.0,393.0,1,3,1,12.8 s,4.1
1779.0,613.0,800.0,1,6,1,12.5 s @ 119.3 mph,4.2
1733.0,558.0,691.0,1,6,1,,3.9
1788.0,644.0,788.0,1,6,1,11.2 s @ 128.0 mph,3.9
1735.0,811.0,969.0,1,6,1,,3.3
1746.0,365.0,597.0,1,6,1,,4.8
1682.0,482.0,610.0,2,6,1,,5.7
1587.0,406.0,624.0,1,6,1,13.9 s @ 103.0 mph,5.4
1563.0,395.0,624.0,1,6,1,,5.5
1767.0,547.0,692.0,1,6,1,12.7 s @ 118.1 mph,4.7
1563.0,365.0,569.0,1,6,1,,5.7
1490.0,360.0,569.0,1,6,1,14.3 s @ 92.0 mph,6.2
1767.0,507.0,651.0,1,6,1,12.7 s,4.5
1746.0,360.0,597.0,1,6,1,,6.0
1165.0,355.0,475.0,1,6,1,,4.8
1460.0,340.0,439.0,1,6,1,,5.9
1265.0,289.0,441.0,1,6,1,14.7 s @ 90.0 mph,6.8
1795.0,558.0,664.0,1,6,1,12.4 s @ 116.8 mph,4.2
1338.0,395.0,446.0,2,6,1,14.0 s @ 92.0 mph,6.2
1105.0,492.0,644.0,1,6,1,,4.1
1045.0,395.0,462.0,1,6,1,12.1 s @ 112.5 mph,4.0
1070.0,360.0,624.0,1,7,1,,4.9
1035.0,811.0,626.0,1,3,1,12.4 s,3.8
1133.0,492.0,651.0,1,7,1,11.8 s @ 121.0 mph,3.9
975.0,431.0,626.0,1,3,1,12.2 s @ 118.1 mph,3.8
984.0,275.0,426.0,1,3,1,13.7 s @ 101.9 mph,5.7
1020.0,355.0,447.0,1,3,1,12.7 s @ 108.1 mph,4.4
950.0,264.0,365.0,1,3,1,13.8 s @ 112.5 mph,4.2
1300.0,182.0,250.0,3,2,1,,7.3
1425.0,170.0,350.0,1,2,0,15.8 s,7.4
1309.0,200.0,280.0,1,2,0,15.1 s,6.9
1320.0,224.0,280.0,1,2,0,14.8 s,6.4
1410.0,265.0,350.0,1,2,0,15.4 s @ 106.9 mph,6.1
1420.0,241.0,300.0,1,2,0,14.6 s,5.9
1440.0,286.0,360.0,1,2,0,14.6 s,5.6
1334.0,185.0,270.0,1,2,0,15.5 s,6.9
1409.0,140.0,320.0,1,2,0,18.3 s @ 87.0 mph,8.7
1558.0,204.0,350.0,3,2,0,15.2 s,7.2
1215.0,160.0,330.0,1,2,0,15.5 s,7.1
1226.0,179.0,250.0,3,2,0,14.9 s,6.1
1177.0,180.0,245.0,1,2,0,15.0 s,6.8
1172.0,180.0,250.0,3,2,0,,6.7
1490.0,143.0,320.0,1,4,0,18.7 s @ 87.0 mph,9.7
498.0,58.0,85.0,1,3,0,18.0 s,12.0
952.0,45.0,82.0,1,6,0,21.3 s @ 63.0 mph,18.8
1210.0,145.0,236.0,1,5,0,,8.9
798.0,33.0,69.0,1,6,0,23.0 s @ 57.5 mph,24.8
1437.0,203.0,331.0,1,5,0,14.9 s @ 93.0 mph,6.4
1536.0,175.0,273.0,1,5,0,,8.5
1306.0,137.0,233.0,1,5,0,16.9 s @ 83.0 mph,9.3
1495.0,253.0,350.0,1,5,0,15.2 s @ 94.4 mph,6.7
1870.0,299.0,400.0,2,5,2,14.9 s @ 97.0 mph,6.3
1792.0,280.0,400.0,1,4,2,14.3 s,5.7
1817.0,280.0,400.0,1,5,2,15.2 s @ 96.9 mph,5.8
1690.0,250.0,350.0,1,4,0,16.3 s @ 102.5 mph,6.3
1660.0,210.0,300.0,1,3,0,15.6 s @ 92.0 mph,7.1
1505.0,210.0,300.0,1,5,0,15.4 s @ 94.0 mph,7.2
1554.0,205.0,280.0,1,5,0,15.4 s @ 93.0 mph,6.8
1530.0,179.0,400.0,1,4,0,17.5 s @ 90.7 mph,8.5
1215.0,590.0,720.0,1,6,1,11.5 s @ 128.0 mph,3.1
1657.0,600.0,850.0,1,6,2,11.3 s,3.2
1491.0,490.0,649.0,1,6,2,12.2 s @ 120.5 mph,3.6
1110.0,215.0,280.0,1,6,1,13.9 s,5.3
1640.0,630.0,825.0,3,3,2,11.2 s,2.9
1570.0,685.0,880.0,1,6,1,11.3 s @ 134.2 mph,3.2
1495.0,730.0,940.0,1,6,2,11.1 s @ 135.5 mph,2.9
1364.0,446.0,470.0,1,6,1,12.1 s @ 116.2 mph,3.6
1434.0,445.0,420.0,1,6,1,12.7 s @ 120.5 mph,4.0
1323.0,385.0,400.0,1,6,1,12.7 s @ 113.1 mph,4.3
1383.0,385.0,536.0,1,6,1,12.5 s @ 117.0 mph,4.1
1400.0,700.0,890.0,1,6,1,11.2 s @ 133.6 mph,3.0
1364.0,597.0,700.0,1,6,1,11.5 s,3.3
1422.0,520.0,685.0,1,6,2,11.5 s @ 126.1 mph,3.4
